name	scientific_name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
ERQ0674	Klebsiella pneumoniae	573	S	12	25	37	0.19072
ERQ0674	Escherichia coli	562	S	5	33	38	0.19588
ERQ0674	Salmonella enterica	28901	S	5	1	6	0.03093
GCF_002042885	Citrobacter freundii	546	S	29	11	40	1.0
GCF_000783445	Citrobacter koseri	545	S	1	0	1	1.0
GCF_005280855	Citrobacter sp. FDAARGOS_156	1702170	S	35	4	39	0.46429
GCF_005280855	Citrobacter youngae	133448	S	27	6	33	0.39286
GCF_005280855	Citrobacter freundii	546	S	6	-3	3	0.03571
GCF_005280855	Citrobacter pasteurii	1563222	S	8	0	8	0.09524
GCF_005281165	Citrobacter sp. RHBSTW-01044	2742678	S	17	17	34	0.51515
GCF_005281165	Citrobacter sp. 172116965	2683822	S	8	7	15	0.22727
GCF_005281165	Citrobacter sp. RHBSTW-00986	2742675	S	7	6	13	0.19697
GCF_005281165	Citrobacter freundii	546	S	5	-3	2	0.0303
ERQ0246	Citrobacter sp. RHBSTW-00424	2742647	S	7	78	85	0.48295
ERQ0246	Citrobacter sp. LY-1	2546350	S	6	-5	1	0.00568
ERQ0246	Citrobacter sp. TSA-1	184912	S	5	-2	3	0.01705
ERQ0246	Citrobacter sp. RHBSTW-00903	2742670	S	4	10	14	0.07955
ERQ0246	Citrobacter sp. RHBSTW-00446	2742648	S	4	65	69	0.39205
ERQ0246	Citrobacter freundii	546	S	8	-6	2	0.01136
GCF_005281115	Citrobacter werkmanii	67827	S	49	8	57	0.76
GCF_005281115	Citrobacter freundii	546	S	4	-2	2	0.02667
GCF_005281115	Escherichia coli	562	S	8	7	15	0.2
ERQ0199	Citrobacter sp. RHBSTW-00881	2742667	S	6	4	10	0.03356
ERQ0199	Citrobacter sp. TSA-1	184912	S	5	2	7	0.02349
ERQ0199	Citrobacter sp. RHBSTW-00696	2742662	S	5	24	29	0.09732
ERQ0199	Citrobacter sp. RHBSTW-00424	2742647	S	4	172	176	0.5906
ERQ0199	Citrobacter sp. RHBSTW-00524	2742653	S	4	2	6	0.02013
ERQ0199	Citrobacter sp. RHBSTW-00887	2742668	S	4	2	6	0.02013
ERQ0199	Citrobacter freundii	546	S	13	-7	6	0.02013
ERQ0199	Escherichia coli	562	S	36	14	50	0.16779
ERQ0199	Klebsiella pneumoniae	573	S	6	-2	4	0.01342
GCF_002871775	Citrobacter freundii	546	S	22	12	34	1.0
GCF_008931625	Citrobacter freundii	546	S	2	0	2	0.33333
GCF_008931625	Enterobacter hormaechei	158836	S	1	0	1	0.16667
GCF_008931625	Escherichia coli	562	S	1	0	1	0.16667
GCF_008931625	Klebsiella pneumoniae	573	S	1	-1	0	0.0
ERQ0278	Citrobacter freundii	546	S	109	56	165	0.85938
ERQ0278	Citrobacter sp. LY-1	2546350	S	16	-1	15	0.07812
ERQ0278	Klebsiella oxytoca	571	S	9	2	11	0.05729
GCF_002903215	Citrobacter freundii complex sp. CFNIH3	2077147	S	3	0	3	1.0
GCF_002208845	Citrobacter braakii	57706	S	1	0	1	1.0
GCF_000937455	Citrobacter freundii	546	S	6	10	16	1.0
GCF_002934505	Citrobacter freundii complex sp. CFNIH4	2077148	S	4	0	4	1.0
GCF_002918875	Citrobacter freundii	546	S	70	47	117	0.84783
GCF_002918875	Klebsiella pneumoniae	573	S	8	8	16	0.11594
GCF_002918875	Klebsiella aerogenes	548	S	4	0	4	0.02899
GCF_005406305	Citrobacter sp. TBCP-5362	2576406	S	1	0	1	1.0
GCF_001022275	Citrobacter freundii	546	S	6	1	7	1.0
ERQ0241	Citrobacter freundii	546	S	140	111	251	0.78683
ERQ0241	Klebsiella pneumoniae	573	S	7	3	10	0.03135
ERQ0241	Klebsiella michiganensis	1134687	S	6	3	9	0.02821
ERQ0241	Salmonella enterica	28901	S	6	42	48	0.15047
ERQ0162	Citrobacter sp. RHBSTW-00881	2742667	S	6	2	8	0.04061
ERQ0162	Citrobacter sp. TSA-1	184912	S	5	1	6	0.03046
ERQ0162	Citrobacter sp. RHBSTW-00696	2742662	S	5	16	21	0.1066
ERQ0162	Citrobacter sp. RHBSTW-00424	2742647	S	4	112	116	0.58883
ERQ0162	Citrobacter sp. RHBSTW-01044	2742678	S	4	2	6	0.03046
ERQ0162	Citrobacter sp. RHBSTW-00887	2742668	S	4	1	5	0.02538
ERQ0162	Citrobacter freundii	546	S	12	-8	4	0.0203
ERQ0162	Citrobacter freundii complex sp. CFNIH3	2077147	S	4	19	23	0.11675
ERQ0162	Klebsiella pneumoniae	573	S	4	-2	2	0.01015
ERQ0162	Escherichia coli	562	S	6	-3	3	0.01523
GCF_002786865	Klebsiella pneumoniae	573	S	1	-1	0	0.0
GCF_002786865	Citrobacter freundii	546	S	1	0	1	0.5
ERQ0671	Citrobacter sp. LY-1	2546350	S	6	-3	3	0.00632
ERQ0671	Citrobacter sp. RHBSTW-01044	2742678	S	4	7	11	0.02316
ERQ0671	Citrobacter sp. RHBSTW-00524	2742653	S	4	6	10	0.02105
ERQ0671	Citrobacter freundii	546	S	14	-1	13	0.02737
ERQ0671	Citrobacter freundii complex sp. CFNIH3	2077147	S	9	110	119	0.25053
ERQ0671	Enterobacter hormaechei	158836	S	16	47	63	0.13263
ERQ0671	Escherichia coli	562	S	14	232	246	0.51789
ERQ0671	Salmonella enterica	28901	S	5	2	7	0.01474
GCF_000238735	Citrobacter portucalensis	1639133	S	9	2	11	1.0
ERQ0225	Citrobacter freundii	546	S	65	66	131	0.93571
ERQ0225	Klebsiella pneumoniae	573	S	4	4	8	0.05714
GCF_002208985	Klebsiella pneumoniae	573	S	1	-1	0	0.0
GCF_002208985	Citrobacter koseri	545	S	1	0	1	0.5
ERQ0227	Citrobacter freundii	546	S	86	85	171	0.91935
ERQ0227	Klebsiella pneumoniae	573	S	8	6	14	0.07527
GCF_002918465	Citrobacter sp. TSA-1	184912	S	2	1	3	0.14286
GCF_002918465	Citrobacter sp. RHBSTW-00887	2742668	S	2	0	2	0.09524
